GioiTinh,KhuVucSinhSong,HocVanChaMe,HoanCanhGiaDinh,HocLucNamTruoc,TiLeChuyenCan,GioTuHocMoiTuan,ThamGiaHocThem,OnThiTruoc,ThoiGianMangXaHoi,KetQua
Nữ,Nông thôn,Tốt nghiệp THPT,Khó khăn,Khá,83.8,11.8,Có,Không ôn thi,2.5,Đỗ
Nữ,Nông thôn,Tốt nghiệp THPT,Trung bình,Giỏi,96.5,6.8,Không,Đã ôn thi,0.5,Đỗ
Nam,Thành thị,Chưa tốt nghiệp THPT,Khó khăn,Khá,87.9,18.6,Không,Đã ôn thi,1.9,Đỗ
Nam,Thành thị,Đại học,Khá giả,Trung bình,100.0,5.3,Không,Đã ôn thi,4.6,Trượt
Nam,Nông thôn,Tốt nghiệp THPT,Trung bình,Giỏi,67.1,8.2,Không,Không ôn thi,1.0,Đỗ
Nữ,Thành thị,Đại học,Trung bình,Khá,74.9,0.0,Có,Không ôn thi,6.7,Trượt
Nữ,Nông thôn,Tốt nghiệp THPT,Trung bình,Trung bình,63.4,13.3,Không,Không ôn thi,3.7,Trượt
Nam,Nông thôn,Tốt nghiệp THPT,Trung bình,Trung bình,85.2,3.4,Có,Đã ôn thi,4.1,Trượt
Nam,Nông thôn,Chưa tốt nghiệp THPT,Khá giả,Giỏi,70.6,14.9,Có,Đã ôn thi,4.4,Đỗ
Nam,Nông thôn,Tốt nghiệp THPT,Trung bình,Trung bình,80.4,10.7,Không,Không ôn thi,4.3,Trượt
Nam,Nông thôn,Đại học,Khá giả,Khá,86.4,15.7,Không,Không ôn thi,3.4,Đỗ
Nữ,Nông thôn,Tốt nghiệp THPT,Trung bình,Trung bình,100.0,12.9,Có,Không ôn thi,5.0,Trượt
Nam,Thành thị,Tốt nghiệp THPT,Khá giả,Trung bình,78.8,15.4,Không,Không ôn thi,3.2,Trượt
Nam,Thành thị,Đại học,Khó khăn,Trung bình,80.8,6.1,Không,Đã ôn thi,3.5,Đỗ
Nam,Nông thôn,Chưa tốt nghiệp THPT,Khá giả,Khá,100.0,9.1,Có,Đã ôn thi,2.5,Đỗ
Nam,Nông thôn,Tốt nghiệp THPT,Khá giả,Trung bình,74.7,17.4,Có,Không ôn thi,3.4,Đỗ
Nữ,Thành thị,Tốt nghiệp THPT,Khó khăn,Khá,92.9,4.1,Không,Đã ôn thi,1.1,Đỗ
Nam,Nông thôn,Tốt nghiệp THPT,Khá giả,Trung bình,88.9,9.1,Có,Không ôn thi,3.9,Trượt
Nữ,Nông thôn,Cao đẳng,Trung bình,Trung bình,94.3,23.0,Không,Không ôn thi,5.1,Đỗ
Nam,Nông thôn,Đại học,Trung bình,Khá,83.2,12.4,Không,Đã ôn thi,4.9,Đỗ
Nam,Nông thôn,Chưa tốt nghiệp THPT,Khó khăn,Khá,92.5,10.0,Có,Đã ôn thi,2.4,Đỗ
Nữ,Nông thôn,Cao đẳng,Khá giả,Trung bình,93.1,7.4,Không,Không ôn thi,3.3,Đỗ
Nam,Nông thôn,Cao đẳng,Trung bình,Trung bình,82.7,18.5,Có,Không ôn thi,5.7,Đỗ
Nam,Thành thị,Thạc sĩ,Khá giả,Trung bình,56.2,13.7,Không,Đã ôn thi,4.1,Trượt
Nam,Thành thị,Tốt nghiệp THPT,Trung bình,Trung bình,89.5,13.4,Không,Đã ôn thi,2.4,Đỗ
Nữ,Thành thị,Đại học,Trung bình,Trung bình,81.7,18.0,Có,Đã ôn thi,1.5,Đỗ
Nam,Nông thôn,Đại học,Khá giả,Khá,94.1,7.7,Có,Đã ôn thi,4.3,Đỗ
Nam,Thành thị,Đại học,Trung bình,Trung bình,76.9,7.0,Có,Đã ôn thi,5.4,Trượt
Nữ,Thành thị,Cao đẳng,Trung bình,Khá,86.0,12.7,Có,Đã ôn thi,1.7,Đỗ
Nữ,Thành thị,Cao đẳng,Trung bình,Yếu,98.7,5.0,Có,Không ôn thi,4.4,Trượt
Nam,Nông thôn,Tốt nghiệp THPT,Trung bình,Trung bình,57.3,14.1,Không,Không ôn thi,3.2,Trượt
Nam,Nông thôn,Cao đẳng,Khá giả,Giỏi,80.8,13.2,Không,Đã ôn thi,4.9,Đỗ
Nam,Thành thị,Cao đẳng,Khá giả,Khá,76.0,7.3,Có,Không ôn thi,5.8,Đỗ
Nữ,Thành thị,Cao đẳng,Khá giả,Khá,87.2,10.2,Có,Không ôn thi,4.7,Đỗ
Nữ,Thành thị,Tốt nghiệp THPT,Trung bình,Trung bình,70.6,11.1,Có,Đã ôn thi,0.0,Đỗ
Nam,Thành thị,Tốt nghiệp THPT,Khá giả,Trung bình,75.1,9.4,Có,Không ôn thi,3.4,Đỗ
Nữ,Nông thôn,Chưa tốt nghiệp THPT,Trung bình,Khá,68.1,15.8,Không,Không ôn thi,4.1,Trượt
Nam,Nông thôn,Cao đẳng,Trung bình,Giỏi,71.8,3.4,Không,Đã ôn thi,5.4,Đỗ
Nam,Thành thị,Đại học,Trung bình,Khá,83.9,8.6,Không,Không ôn thi,0.0,Đỗ
Nữ,Thành thị,Tốt nghiệp THPT,Trung bình,Giỏi,100.0,14.9,Không,Không ôn thi,9.4,Đỗ
Nam,Nông thôn,Đại học,Trung bình,Yếu,91.2,9.0,Có,Đã ôn thi,5.3,Đỗ
Nam,Thành thị,Thạc sĩ,Trung bình,Trung bình,86.6,2.0,Không,Đã ôn thi,5.8,Trượt
Nữ,Thành thị,Chưa tốt nghiệp THPT,Trung bình,Yếu,87.9,14.7,Có,Đã ôn thi,3.6,Đỗ
Nữ,Thành thị,Chưa tốt nghiệp THPT,Khó khăn,Giỏi,56.5,14.7,Không,Đã ôn thi,3.5,Đỗ
Nữ,Thành thị,Đại học,Khá giả,Trung bình,97.7,8.1,Không,Không ôn thi,1.0,Trượt
Nam,Nông thôn,Đại học,Trung bình,Trung bình,73.6,10.6,Có,Đã ôn thi,5.8,Trượt
Nam,Thành thị,Tốt nghiệp THPT,Khó khăn,Trung bình,86.7,8.8,Không,Đã ôn thi,5.3,Trượt
Nữ,Nông thôn,Tốt nghiệp THPT,Trung bình,Yếu,84.5,8.9,Không,Đã ôn thi,3.4,Trượt
Nữ,Nông thôn,Cao đẳng,Trung bình,Khá,91.8,0.7,Không,Đã ôn thi,4.3,Đỗ
Nam,Thành thị,Đại học,Khó khăn,Trung bình,77.9,8.1,Không,Đã ôn thi,2.3,Trượt
Nữ,Thành thị,Đại học,Khó khăn,Trung bình,71.8,7.8,Có,Đã ôn thi,0.0,Đỗ
Nam,Thành thị,Tốt nghiệp THPT,Trung bình,Khá,73.0,6.0,Có,Đã ôn thi,3.5,Trượt
Nữ,Thành thị,Tốt nghiệp THPT,Khó khăn,Trung bình,77.6,9.2,Không,Không ôn thi,4.1,Trượt
Nam,Nông thôn,Chưa tốt nghiệp THPT,Khá giả,Khá,87.6,9.2,Không,Không ôn thi,2.8,Trượt
Nam,Thành thị,Tốt nghiệp THPT,Khó khăn,Khá,89.3,6.0,Có,Đã ôn thi,3.6,Đỗ
Nam,Thành thị,Cao đẳng,Trung bình,Trung bình,92.5,13.4,Không,Đã ôn thi,3.4,Đỗ
Nữ,Nông thôn,Cao đẳng,Khá giả,Yếu,100.0,8.6,Có,Không ôn thi,5.0,Trượt
Nam,Thành thị,Đại học,Khó khăn,Trung bình,85.0,7.5,Có,Không ôn thi,6.1,Trượt
Nữ,Thành thị,Đại học,Khá giả,Yếu,82.9,0.0,Không,Đã ôn thi,2.3,Trượt
Nữ,Nông thôn,Tốt nghiệp THPT,Trung bình,Khá,100.0,7.9,Không,Không ôn thi,2.1,Đỗ
Nữ,Nông thôn,Tốt nghiệp THPT,Trung bình,Giỏi,64.0,1.8,Không,Đã ôn thi,7.9,Trượt
Nam,Nông thôn,Tốt nghiệp THPT,Trung bình,Giỏi,56.4,2.7,Không,Đã ôn thi,2.2,Đỗ
Nữ,Thành thị,Tốt nghiệp THPT,Khó khăn,Khá,87.4,9.1,Có,Đã ôn thi,4.2,Đỗ
Nam,Nông thôn,Cao đẳng,Trung bình,Trung bình,77.5,4.3,Không,Không ôn thi,4.7,Trượt
Nam,Thành thị,Cao đẳng,Trung bình,Khá,84.8,3.6,Không,Không ôn thi,2.8,Trượt
Nữ,Thành thị,Tốt nghiệp THPT,Trung bình,Yếu,86.6,0.0,Không,Đã ôn thi,0.4,Trượt
Nữ,Thành thị,Chưa tốt nghiệp THPT,Trung bình,Giỏi,67.1,13.3,Có,Đã ôn thi,8.4,Đỗ
Nữ,Thành thị,Chưa tốt nghiệp THPT,Trung bình,Trung bình,100.0,2.7,Không,Đã ôn thi,5.0,Trượt
Nam,Thành thị,Đại học,Trung bình,Trung bình,85.1,15.9,Không,Không ôn thi,4.7,Trượt
Nam,Thành thị,Tốt nghiệp THPT,Trung bình,Khá,75.8,14.6,Không,Đã ôn thi,2.5,Đỗ
Nữ,Nông thôn,Tốt nghiệp THPT,Trung bình,Trung bình,69.4,5.5,Không,Không ôn thi,6.8,Trượt
Nam,Nông thôn,Tốt nghiệp THPT,Trung bình,Khá,72.4,17.0,Có,Không ôn thi,3.6,Đỗ
Nam,Nông thôn,Tốt nghiệp THPT,Trung bình,Khá,91.7,3.4,Không,Đã ôn thi,1.8,Đỗ
Nam,Thành thị,Chưa tốt nghiệp THPT,Khá giả,Khá,100.0,10.7,Không,Không ôn thi,0.1,Đỗ
Nữ,Thành thị,Cao đẳng,Trung bình,Yếu,80.3,8.4,Có,Đã ôn thi,3.9,Trượt
Nam,Thành thị,Cao đẳng,Trung bình,Trung bình,91.2,9.5,Không,Đã ôn thi,6.5,Trượt
Nam,Thành thị,Chưa tốt nghiệp THPT,Khá giả,Yếu,98.2,7.2,Có,Đã ôn thi,3.9,Trượt
Nữ,Nông thôn,Đại học,Trung bình,Khá,85.5,17.0,Không,Không ôn thi,2.5,Đỗ
Nữ,Nông thôn,Chưa tốt nghiệp THPT,Khá giả,Khá,85.4,3.1,Không,Không ôn thi,3.0,Đỗ
Nam,Nông thôn,Đại học,Trung bình,Khá,96.5,8.2,Không,Không ôn thi,4.3,Đỗ
Nữ,Nông thôn,Thạc sĩ,Trung bình,Giỏi,72.6,3.6,Có,Đã ôn thi,2.7,Đỗ
Nam,Nông thôn,Chưa tốt nghiệp THPT,Trung bình,Yếu,87.2,5.8,Không,Đã ôn thi,7.0,Trượt
Nam,Thành thị,Cao đẳng,Trung bình,Giỏi,99.0,11.7,Không,Không ôn thi,3.0,Đỗ
Nữ,Nông thôn,Chưa tốt nghiệp THPT,Trung bình,Khá,73.7,6.6,Không,Đã ôn thi,2.7,Đỗ
Nam,Nông thôn,Tốt nghiệp THPT,Trung bình,Khá,89.3,7.0,Có,Không ôn thi,0.0,Đỗ
Nam,Thành thị,Tốt nghiệp THPT,Trung bình,Trung bình,90.7,12.0,Có,Đã ôn thi,1.6,Đỗ
Nữ,Nông thôn,Chưa tốt nghiệp THPT,Khá giả,Giỏi,80.4,3.6,Không,Đã ôn thi,2.5,Đỗ
Nữ,Nông thôn,Tốt nghiệp THPT,Khó khăn,Khá,67.0,11.7,Không,Không ôn thi,3.3,Trượt
Nữ,Thành thị,Cao đẳng,Khá giả,Khá,85.4,1.2,Không,Không ôn thi,1.1,Đỗ
Nam,Thành thị,Đại học,Khó khăn,Khá,74.3,5.1,Không,Đã ôn thi,2.1,Trượt
Nữ,Nông thôn,Thạc sĩ,Khá giả,Khá,82.3,9.6,Có,Đã ôn thi,3.9,Đỗ
Nữ,Nông thôn,Chưa tốt nghiệp THPT,Khó khăn,Khá,90.5,10.2,Có,Đã ôn thi,3.8,Đỗ
Nam,Thành thị,Cao đẳng,Khá giả,Khá,82.3,11.3,Không,Đã ôn thi,2.7,Đỗ
Nam,Thành thị,Tốt nghiệp THPT,Trung bình,Giỏi,93.9,8.0,Có,Không ôn thi,2.3,Đỗ
Nam,Thành thị,Đại học,Khá giả,Trung bình,89.7,4.8,Có,Đã ôn thi,5.5,Trượt
Nam,Nông thôn,Chưa tốt nghiệp THPT,Trung bình,Trung bình,73.5,9.1,Không,Không ôn thi,7.0,Trượt
Nữ,Thành thị,Cao đẳng,Trung bình,Trung bình,79.8,4.5,Không,Đã ôn thi,1.6,Trượt
Nữ,Nông thôn,Tốt nghiệp THPT,Trung bình,Khá,87.2,14.9,Có,Đã ôn thi,1.4,Đỗ
Nữ,Nông thôn,Chưa tốt nghiệp THPT,Khó khăn,Khá,97.1,0.0,Có,Đã ôn thi,1.7,Đỗ
Nam,Thành thị,Chưa tốt nghiệp THPT,Trung bình,Trung bình,64.5,10.1,Có,Đã ôn thi,5.1,Trượt
Nữ,Thành thị,Tốt nghiệp THPT,Trung bình,Khá,84.7,14.9,Có,Đã ôn thi,0.0,Đỗ
Nữ,Thành thị,Tốt nghiệp THPT,Trung bình,Khá,87.0,3.1,Không,Không ôn thi,1.6,Trượt
Nam,Thành thị,Chưa tốt nghiệp THPT,Khó khăn,Khá,83.7,14.4,Không,Không ôn thi,5.1,Trượt
Nữ,Nông thôn,Thạc sĩ,Trung bình,Giỏi,77.8,4.8,Có,Đã ôn thi,3.4,Đỗ
Nam,Nông thôn,Tốt nghiệp THPT,Trung bình,Khá,73.9,8.7,Có,Đã ôn thi,5.0,Đỗ
Nữ,Nông thôn,Đại học,Trung bình,Khá,83.9,12.3,Không,Đã ôn thi,3.1,Đỗ
Nữ,Nông thôn,Thạc sĩ,Khó khăn,Giỏi,80.9,6.3,Có,Đã ôn thi,2.2,Đỗ
Nữ,Nông thôn,Tốt nghiệp THPT,Trung bình,Giỏi,94.8,7.4,Có,Đã ôn thi,2.9,Đỗ
Nam,Nông thôn,Tốt nghiệp THPT,Khá giả,Trung bình,84.0,0.0,Không,Đã ôn thi,1.8,Trượt
Nữ,Thành thị,Cao đẳng,Trung bình,Trung bình,90.4,9.2,Không,Đã ôn thi,4.3,Trượt
Nữ,Thành thị,Tốt nghiệp THPT,Khá giả,Giỏi,97.1,14.8,Không,Không ôn thi,2.6,Đỗ
Nam,Thành thị,Đại học,Trung bình,Giỏi,77.7,11.9,Có,Đã ôn thi,2.4,Đỗ
Nam,Thành thị,Cao đẳng,Khó khăn,Khá,66.2,7.6,Có,Đã ôn thi,3.5,Đỗ
Nam,Thành thị,Tốt nghiệp THPT,Trung bình,Giỏi,86.4,7.1,Có,Không ôn thi,3.7,Đỗ
Nam,Thành thị,Đại học,Trung bình,Khá,72.4,5.8,Không,Đã ôn thi,4.7,Trượt
Nam,Thành thị,Chưa tốt nghiệp THPT,Trung bình,Trung bình,100.0,11.0,Có,Không ôn thi,3.9,Đỗ
Nam,Thành thị,Chưa tốt nghiệp THPT,Khó khăn,Trung bình,99.2,9.3,Không,Đã ôn thi,6.8,Trượt
Nam,Thành thị,Đại học,Khá giả,Trung bình,80.5,19.2,Không,Đã ôn thi,4.2,Đỗ
Nữ,Nông thôn,Chưa tốt nghiệp THPT,Trung bình,Khá,74.6,18.0,Có,Đã ôn thi,5.0,Đỗ
Nam,Nông thôn,Tốt nghiệp THPT,Khó khăn,Trung bình,100.0,22.6,Không,Đã ôn thi,5.6,Đỗ
Nam,Thành thị,Đại học,Trung bình,Khá,88.5,6.1,Có,Đã ôn thi,1.9,Đỗ
Nam,Nông thôn,Tốt nghiệp THPT,Trung bình,Trung bình,89.6,12.0,Có,Đã ôn thi,2.5,Đỗ
Nam,Thành thị,Cao đẳng,Trung bình,Trung bình,66.5,12.9,Có,Đã ôn thi,4.7,Trượt
Nam,Nông thôn,Đại học,Trung bình,Khá,69.2,7.6,Có,Không ôn thi,0.0,Đỗ
Nữ,Thành thị,Cao đẳng,Khá giả,Trung bình,97.8,5.3,Có,Đã ôn thi,5.7,Đỗ
Nữ,Thành thị,Cao đẳng,Khá giả,Khá,76.2,7.4,Có,Không ôn thi,6.9,Đỗ
Nam,Thành thị,Đại học,Trung bình,Giỏi,88.0,8.6,Không,Không ôn thi,4.7,Đỗ
Nữ,Thành thị,Cao đẳng,Trung bình,Giỏi,69.3,12.0,Không,Không ôn thi,4.5,Đỗ
Nữ,Nông thôn,Cao đẳng,Khá giả,Khá,72.5,7.5,Có,Không ôn thi,3.3,Đỗ
Nữ,Thành thị,Cao đẳng,Trung bình,Yếu,82.9,14.3,Không,Đã ôn thi,4.7,Trượt
Nam,Thành thị,Đại học,Khá giả,Trung bình,100.0,5.0,Không,Đã ôn thi,2.1,Đỗ
Nữ,Thành thị,Đại học,Trung bình,Khá,100.0,10.4,Không,Đã ôn thi,3.6,Đỗ
Nữ,Thành thị,Cao đẳng,Trung bình,Trung bình,98.5,12.3,Có,Đã ôn thi,4.3,Đỗ
Nữ,Thành thị,Chưa tốt nghiệp THPT,Trung bình,Trung bình,96.4,12.1,Không,Đã ôn thi,3.3,Đỗ
Nữ,Thành thị,Đại học,Khá giả,Khá,84.9,13.3,Không,Đã ôn thi,4.8,Đỗ
Nam,Thành thị,Đại học,Trung bình,Khá,95.8,19.3,Không,Đã ôn thi,5.1,Đỗ
Nam,Thành thị,Tốt nghiệp THPT,Khó khăn,Trung bình,90.6,0.0,Có,Đã ôn thi,0.9,Trượt
Nữ,Thành thị,Cao đẳng,Trung bình,Giỏi,93.3,18.6,Không,Không ôn thi,5.4,Đỗ
Nam,Thành thị,Thạc sĩ,Trung bình,Trung bình,80.2,13.1,Có,Đã ôn thi,4.4,Trượt
Nữ,Nông thôn,Tốt nghiệp THPT,Khá giả,Trung bình,77.7,14.8,Không,Không ôn thi,3.0,Trượt
Nữ,Thành thị,Tốt nghiệp THPT,Trung bình,Khá,54.7,11.9,Không,Không ôn thi,2.2,Đỗ
Nữ,Thành thị,Tốt nghiệp THPT,Trung bình,Khá,83.6,12.6,Có,Đã ôn thi,5.5,Đỗ
Nam,Nông thôn,Đại học,Khá giả,Trung bình,100.0,3.9,Không,Đã ôn thi,0.5,Trượt
Nam,Thành thị,Đại học,Trung bình,Yếu,81.9,5.2,Có,Không ôn thi,0.8,Trượt
Nữ,Nông thôn,Tốt nghiệp THPT,Trung bình,Trung bình,100.0,18.9,Không,Đã ôn thi,3.5,Đỗ
Nam,Nông thôn,Thạc sĩ,Trung bình,Trung bình,83.7,6.9,Có,Không ôn thi,3.8,Trượt
Nam,Thành thị,Đại học,Trung bình,Yếu,96.3,5.3,Không,Đã ôn thi,5.3,Trượt
Nữ,Nông thôn,Cao đẳng,Khó khăn,Khá,99.3,9.5,Không,Đã ôn thi,4.8,Đỗ
Nam,Thành thị,Chưa tốt nghiệp THPT,Trung bình,Trung bình,67.7,5.6,Không,Đã ôn thi,4.4,Đỗ
Nữ,Thành thị,Cao đẳng,Khó khăn,Giỏi,73.2,18.9,Có,Đã ôn thi,1.6,Đỗ
Nam,Thành thị,Chưa tốt nghiệp THPT,Trung bình,Trung bình,74.6,13.2,Không,Đã ôn thi,0.9,Trượt
Nam,Nông thôn,Tốt nghiệp THPT,Khá giả,Khá,81.4,5.0,Không,Không ôn thi,5.5,Trượt
Nam,Nông thôn,Cao đẳng,Trung bình,Giỏi,77.4,10.0,Không,Không ôn thi,3.0,Đỗ
Nữ,Thành thị,Đại học,Khá giả,Khá,85.0,15.0,Có,Đã ôn thi,2.3,Đỗ
Nam,Nông thôn,Tốt nghiệp THPT,Khá giả,Trung bình,61.4,10.0,Có,Đã ôn thi,3.0,Trượt
Nữ,Thành thị,Tốt nghiệp THPT,Trung bình,Giỏi,73.4,9.2,Có,Không ôn thi,3.2,Đỗ
Nam,Thành thị,Đại học,Khá giả,Giỏi,77.9,8.4,Có,Không ôn thi,2.4,Đỗ
Nữ,Thành thị,Thạc sĩ,Trung bình,Yếu,89.0,4.8,Có,Đã ôn thi,3.7,Trượt
Nữ,Thành thị,Đại học,Khá giả,Trung bình,90.9,5.6,Không,Đã ôn thi,2.6,Đỗ
Nữ,Thành thị,Chưa tốt nghiệp THPT,Trung bình,Khá,90.6,9.5,Có,Đã ôn thi,4.3,Đỗ
Nam,Nông thôn,Đại học,Khó khăn,Khá,74.2,14.9,Không,Đã ôn thi,6.8,Đỗ
Nữ,Thành thị,Tốt nghiệp THPT,Trung bình,Khá,56.8,5.4,Không,Không ôn thi,4.2,Trượt
Nữ,Thành thị,Chưa tốt nghiệp THPT,Khó khăn,Trung bình,94.9,9.8,Có,Không ôn thi,4.5,Trượt
Nam,Thành thị,Tốt nghiệp THPT,Trung bình,Yếu,97.6,16.4,Có,Không ôn thi,0.6,Đỗ
Nữ,Thành thị,Chưa tốt nghiệp THPT,Trung bình,Trung bình,80.9,0.3,Không,Không ôn thi,0.0,Trượt
Nam,Thành thị,Tốt nghiệp THPT,Khá giả,Giỏi,51.0,9.2,Có,Đã ôn thi,3.9,Đỗ
Nam,Thành thị,Chưa tốt nghiệp THPT,Trung bình,Khá,100.0,0.4,Không,Không ôn thi,1.6,Đỗ
Nữ,Thành thị,Đại học,Khá giả,Giỏi,100.0,0.0,Không,Đã ôn thi,4.5,Đỗ
Nữ,Thành thị,Tốt nghiệp THPT,Khó khăn,Giỏi,74.1,1.9,Không,Đã ôn thi,4.3,Đỗ
Nữ,Thành thị,Tốt nghiệp THPT,Trung bình,Trung bình,86.8,6.5,Không,Không ôn thi,3.7,Trượt
Nữ,Nông thôn,Chưa tốt nghiệp THPT,Khá giả,Yếu,80.4,5.8,Không,Không ôn thi,3.6,Trượt
Nữ,Nông thôn,Đại học,Khá giả,Giỏi,100.0,14.3,Không,Đã ôn thi,1.8,Đỗ
Nữ,Thành thị,Thạc sĩ,Trung bình,Giỏi,100.0,11.0,Không,Đã ôn thi,6.0,Đỗ
Nữ,Nông thôn,Cao đẳng,Trung bình,Giỏi,92.7,3.3,Không,Đã ôn thi,3.1,Đỗ
Nam,Nông thôn,Cao đẳng,Khó khăn,Giỏi,84.6,16.2,Có,Không ôn thi,1.6,Đỗ
Nam,Thành thị,Thạc sĩ,Trung bình,Trung bình,69.3,7.7,Có,Không ôn thi,4.9,Trượt
Nữ,Thành thị,Đại học,Trung bình,Yếu,80.6,12.9,Không,Đã ôn thi,2.0,Trượt
Nam,Thành thị,Đại học,Khó khăn,Trung bình,96.5,17.2,Có,Đã ôn thi,3.1,Đỗ
Nữ,Thành thị,Đại học,Trung bình,Khá,67.6,0.4,Có,Đã ôn thi,4.7,Đỗ
Nữ,Nông thôn,Đại học,Trung bình,Khá,100.0,13.0,Không,Không ôn thi,0.0,Đỗ
Nam,Thành thị,Tốt nghiệp THPT,Trung bình,Trung bình,85.5,16.2,Không,Không ôn thi,1.3,Đỗ
Nữ,Nông thôn,Tốt nghiệp THPT,Khó khăn,Trung bình,95.3,17.6,Không,Không ôn thi,6.7,Trượt
Nam,Thành thị,Đại học,Khó khăn,Trung bình,91.1,3.1,Có,Đã ôn thi,5.5,Trượt
Nữ,Nông thôn,Tốt nghiệp THPT,Trung bình,Trung bình,68.1,5.5,Không,Không ôn thi,4.2,Trượt
Nữ,Nông thôn,Cao đẳng,Khá giả,Trung bình,100.0,0.0,Không,Đã ôn thi,0.1,Đỗ
Nữ,Thành thị,Chưa tốt nghiệp THPT,Khá giả,Khá,50.2,12.5,Không,Không ôn thi,5.2,Đỗ
Nữ,Thành thị,Cao đẳng,Trung bình,Giỏi,78.7,4.5,Không,Đã ôn thi,4.6,Đỗ
Nam,Nông thôn,Đại học,Trung bình,Trung bình,96.4,5.1,Có,Đã ôn thi,3.0,Đỗ
Nữ,Thành thị,Chưa tốt nghiệp THPT,Trung bình,Giỏi,68.1,7.2,Không,Không ôn thi,3.2,Trượt
Nam,Nông thôn,Tốt nghiệp THPT,Khó khăn,Trung bình,76.3,8.8,Không,Đã ôn thi,5.8,Trượt
Nữ,Thành thị,Thạc sĩ,Khá giả,Trung bình,78.2,14.2,Có,Đã ôn thi,5.7,Đỗ
Nữ,Thành thị,Chưa tốt nghiệp THPT,Khá giả,Yếu,71.4,11.4,Không,Đã ôn thi,0.0,Trượt
Nam,Thành thị,Chưa tốt nghiệp THPT,Khó khăn,Giỏi,80.3,13.0,Có,Không ôn thi,3.0,Đỗ
Nam,Thành thị,Tốt nghiệp THPT,Trung bình,Giỏi,95.5,14.8,Không,Đã ôn thi,2.6,Đỗ
Nam,Thành thị,Đại học,Khó khăn,Khá,74.2,16.6,Không,Đã ôn thi,1.1,Đỗ
Nữ,Thành thị,Cao đẳng,Khá giả,Khá,86.0,13.8,Có,Không ôn thi,2.4,Đỗ
Nữ,Nông thôn,Cao đẳng,Trung bình,Khá,96.1,12.0,Không,Không ôn thi,2.4,Đỗ
Nữ,Thành thị,Tốt nghiệp THPT,Khó khăn,Trung bình,90.2,10.3,Có,Không ôn thi,3.9,Trượt
Nữ,Nông thôn,Chưa tốt nghiệp THPT,Trung bình,Khá,77.2,12.8,Không,Không ôn thi,2.4,Trượt
Nam,Thành thị,Tốt nghiệp THPT,Khó khăn,Trung bình,79.7,5.9,Có,Không ôn thi,2.6,Trượt
Nữ,Nông thôn,Đại học,Trung bình,Khá,98.5,9.7,Có,Đã ôn thi,4.6,Đỗ
Nam,Nông thôn,Thạc sĩ,Khó khăn,Giỏi,82.3,19.9,Có,Không ôn thi,4.9,Đỗ
Nữ,Thành thị,Cao đẳng,Trung bình,Khá,71.4,15.6,Không,Đã ôn thi,3.6,Đỗ
Nữ,Nông thôn,Tốt nghiệp THPT,Khá giả,Khá,83.8,8.4,Không,Đã ôn thi,3.9,Đỗ
Nữ,Nông thôn,Đại học,Trung bình,Giỏi,100.0,10.7,Không,Đã ôn thi,0.5,Đỗ
Nam,Thành thị,Tốt nghiệp THPT,Khó khăn,Giỏi,85.8,9.8,Không,Đã ôn thi,2.3,Đỗ
Nam,Nông thôn,Đại học,Khó khăn,Khá,86.6,6.7,Có,Không ôn thi,0.9,Đỗ
Nam,Nông thôn,Đại học,Trung bình,Khá,78.5,11.2,Không,Đã ôn thi,3.1,Đỗ
Nam,Nông thôn,Cao đẳng,Khó khăn,Yếu,75.7,10.9,Không,Đã ôn thi,6.2,Trượt
Nam,Nông thôn,Đại học,Trung bình,Giỏi,87.8,15.8,Có,Không ôn thi,5.2,Đỗ
Nữ,Nông thôn,Đại học,Trung bình,Giỏi,89.6,20.0,Có,Đã ôn thi,2.4,Đỗ
Nữ,Nông thôn,Đại học,Trung bình,Trung bình,85.9,22.0,Không,Không ôn thi,6.2,Đỗ
Nữ,Nông thôn,Chưa tốt nghiệp THPT,Khá giả,Yếu,83.5,13.0,Có,Không ôn thi,1.9,Đỗ
Nam,Thành thị,Tốt nghiệp THPT,Khá giả,Khá,82.6,1.4,Có,Đã ôn thi,2.6,Đỗ
Nữ,Nông thôn,Tốt nghiệp THPT,Trung bình,Khá,98.3,10.3,Không,Đã ôn thi,3.3,Đỗ
Nữ,Nông thôn,Cao đẳng,Trung bình,Trung bình,95.7,17.5,Không,Đã ôn thi,0.9,Đỗ
Nữ,Thành thị,Tốt nghiệp THPT,Trung bình,Trung bình,77.7,20.0,Có,Đã ôn thi,1.9,Đỗ
Nữ,Nông thôn,Đại học,Trung bình,Khá,68.8,10.8,Không,Không ôn thi,2.9,Trượt
Nam,Thành thị,Tốt nghiệp THPT,Trung bình,Trung bình,74.5,7.0,Không,Đã ôn thi,2.3,Trượt
Nữ,Nông thôn,Đại học,Khó khăn,Giỏi,95.2,7.4,Không,Không ôn thi,1.1,Đỗ
Nữ,Thành thị,Thạc sĩ,Trung bình,Trung bình,74.0,0.0,Không,Không ôn thi,5.5,Trượt
Nam,Thành thị,Thạc sĩ,Trung bình,Trung bình,93.7,14.4,Có,Không ôn thi,4.6,Đỗ
Nam,Thành thị,Đại học,Trung bình,Trung bình,76.4,3.7,Có,Không ôn thi,3.9,Trượt
Nữ,Nông thôn,Tốt nghiệp THPT,Trung bình,Giỏi,70.5,0.0,Có,Đã ôn thi,1.4,Đỗ
